,Name,Manufacturer,Functions,HP,Depth,+12V (mA),-12V (mA),+5V (mA),Price (€),Racks,Rating,Votes,Available,Approved
445,Outs,Pittsburgh Modular,"['External', 'TrueGrid']",6,43.0,20.0,20.0,0.0,105.0,3816,3.96,46.0,Discontinued,0
446,S+H,2hp,"['Dual/Stereo', 'Sample and Hold']",2,42.0,5.0,5.0,0.0,80.0,3803,3.08,10.0,Available,1
447,Entity Ultra-Kick,Steady State Fate,"['Drum', 'Envelope Generator', 'Synth Voice']",14,23.0,110.0,110.0,0.0,298.0,3803,4.86,22.0,Available,1
448,Disting mk1,Expert Sleepers,"['Delay', 'LFO', 'Oscillator', 'Sample and Hold', 'Slew Limiter', 'Waveshaper', 'Quantizer', 'Comparator']",4,53.0,111.0,37.0,0.0,149.0,3795,4.4,68.0,Discontinued,0
449,Noise Plethora,Befaco,"['Filter', 'Noise', 'Synth Voice']",14,25.0,110.0,67.0,0.0,350.0,3791,4.79,24.0,Available,1
450,Steady State Gate,Steady State Fate,"['Distortion', 'Drum', 'Dynamics', 'Envelope Generator', 'Filter', 'Low Pass Gate', 'VCA', 'Waveshaper']",8,23.0,76.0,72.0,0.0,221.0,3790,4.74,23.0,Available,1
451,Mutamix,Intellijel,"['Attenuator', 'Mixer', 'Sequencer', 'Switch']",18,38.0,58.0,44.0,0.0,295.0,3790,4.31,42.0,Discontinued,0
452,HexMix VCA,Befaco,"['Attenuator', 'Mixer', 'VCA']",14,30.0,50.0,50.0,0.0,265.0,3784,4.08,12.0,Available,1
453,Pip Slope,ALM Busy Circuits,"['Envelope Generator', 'Function Generator', 'LFO']",4,32.0,50.0,50.0,0.0,99.0,3768,4.5,24.0,Discontinued,0
454,Quad-Atten,Steady State Fate,"['Attenuator', 'Quad']",4,25.0,78.1,35.6,0.0,62.0,3763,4.48,25.0,Discontinued,1
455,Lifeforms SV-1,Pittsburgh Modular,"['Envelope Generator', 'Filter', 'LFO', 'MIDI', 'Oscillator', 'VCA', 'Synth Voice']",48,35.0,230.0,200.0,0.0,585.0,3733,4.39,41.0,Available,1
456,Linix,Intellijel,"['Mixer', 'VCA']",16,28.0,88.0,84.0,0.0,345.0,3729,4.63,52.0,Discontinued,0
457,Pico Quant,Erica Synths,['Quantizer'],3,35.0,25.0,6.0,0.0,120.0,3722,4.59,17.0,Available,1
458,Stereo Triggered Sampler,4ms Company,"['Sampling', 'Digital', 'Dual/Stereo', 'Oscillator', 'Synth Voice']",20,25.0,145.0,39.0,0.0,469.0,3714,4.52,27.0,Available,1
459,A-170,Doepfer,"['Slew Limiter', 'Envelope Generator', 'Dual/Stereo']",8,40.0,20.0,20.0,0.0,65.0,3710,3.75,28.0,Available,0
460,Mutant Bassdrum,Hexinverter Électronique,"['Distortion', 'Drum', 'Effect']",13,35.0,55.0,45.0,0.0,224.0,3701,4.21,42.0,Available,1
461,DXG,Make Noise,"['Dual/Stereo', 'Low Pass Gate', 'Mixer', 'VCA']",8,43.0,74.0,86.0,0.0,248.0,3700,4.75,8.0,Available,0
462,A-143-3,Doepfer,"['LFO', 'Quad', 'Clock Generator']",14,40.0,70.0,60.0,0.0,115.0,3693,3.89,38.0,Available,0
463,MIDI Breakout,Expert Sleepers,['MIDI'],4,27.0,78.1,35.6,0.0,49.0,3685,4.15,13.0,Available,0
464,CM1A,Behringer,"['Digital', 'MIDI']",6,56.0,70.0,10.0,0.0,95.0,3671,1.38,21.0,Available,0
465,ornament+crime (pcb panel),Oscillosaurus,"['CV Modulation', 'Digital', 'Function Generator', 'Quantizer']",14,25.0,85.0,10.0,0.0,225.0,3649,4.48,23.0,No Info,0
466,Spectrum,Steady State Fate,"['Oscillator', 'LFO']",10,25.0,80.0,55.0,0.0,249.0,3648,4.53,40.0,Discontinued,1
467,Pico A MIX,Erica Synths,"['Mixer', 'Utility']",3,35.0,5.0,5.0,0.0,50.0,3647,3.86,14.0,No Info,1
468,ER-301: Sound Computer,Orthogonal Devices,"['Digital', 'Sampling']",30,25.0,300.0,20.0,0.0,797.0,3631,4.68,62.0,Available,1
469,Kraken,WMD,['Drum'],8,30.0,61.0,17.0,0.0,269.0,3624,4.6,15.0,Available,0
470,Z-DSP,Tiptop Audio,"['Delay', 'Digital', 'Effect', 'Filter', 'Pitch Shifter ', 'Reverb', 'Panning', 'Phase Shifter']",28,59.0,130.0,36.0,0.0,355.0,3617,4.17,48.0,Available,1
471,vincâ,Instruō,"['Dual/Stereo', 'VCA', 'Ring Modulator']",4,27.0,30.0,30.0,0.0,218.0,3617,4.5,10.0,Available,0
472,saïch,Instruō,"['Oscillator', 'Quad']",12,27.0,110.0,90.0,0.0,538.0,3589,4.21,14.0,Available,0
