,Name,Manufacturer,Functions,HP,Depth,+12V (mA),-12V (mA),+5V (mA),Price (€),Racks,Rating,Votes,Available,Approved
7250,WAVE COMPOSITION OSCILLATOR,EMW,"['MIDI', 'Oscillator', 'Digital']",16,,18.0,8.0,,198.0,73,,,Available,1
7251,Elements MIDI Module 16B,Livid,['Controller'],20,,,,,77.0,73,,,,0
7252,Cyclebox (Grayscale panel),Grayscale,['Oscillator'],16,,110.0,0.0,0.0,550.0,73,5.0,3.0,,1
7253,RM Ring Mod,Analogue Solutions,['Ring Modulator'],6,89.0,20.0,20.0,0.0,70.0,73,5.0,1.0,Discontinued,0
7254,4 Operator FM,Modcan,['Oscillator'],20,,,,,,73,,,,0
7255,ES11 - Triple Comparator & Schmitt Trigger,Elby Designs,"['Logic', 'Comparator']",17,60.0,28.0,0.0,0.0,182.0,73,,,Available,0
7256,Moog MF-1001,Million Machine March,['Filter'],28,38.0,500.0,,,,73,5.0,1.0,,0
7257,Logic 202,EMW,"['Logic', 'Clock Modulator', 'Utility']",14,,70.0,0.0,0.0,90.0,73,,,,0
7258,BMC016 Dual Nice Quantizer (Clarke68 panel),Barton Musical Circuits,"['Dual/Stereo', 'Quantizer']",18,,,,,,73,,,,0
7259,zSPLIT,Motovilo,"['Dual/Stereo', 'Multiple', 'Utility']",3,45.0,15.0,15.0,0.0,63.0,73,4.67,3.0,Available,0
7260,24dB VCF SSI,MFB,['Filter'],8,40.0,30.0,30.0,,99.0,73,,,Available,0
7261,SY-MOD,Pharmasonic,"['Drum', 'Envelope Generator', 'LFO', 'Sample and Hold']",6,25.0,20.0,18.0,0.0,87.0,73,,,Discontinued,0
7262,ДИУ-1об black,Paratek,['Utility'],3,35.0,75.0,,,100.0,73,,,Available,1
7263,EURO DSO,FPB,"['Utility', 'Tuner']",14,23.0,17.0,16.0,58.0,180.0,73,3.0,1.0,Available,1
7264,MULTS,JPSynth,"['Multiple', 'Utility']",4,14.0,,,,25.0,73,5.0,2.0,Available,1
7265,NEW cloud busting . blank,Error Instruments,"['Synth Voice', 'Controller', 'Effect', 'Random', 'Sequencer']",18,30.0,107.0,0.0,0.0,220.0,73,,,Available,0
7266,Model 180,Red Panel,"['Clock Modulator', 'Envelope Generator', 'Function Generator', 'LFO', 'Dual/Stereo']",14,45.0,30.0,10.0,,429.0,73,,,Discontinued,0
7267,STM32DUINO LFO (DIY),SoundForce,"['CV Modulation', 'LFO']",10,,,,,35.0,73,,,Available,1
