,Name,Manufacturer,Functions,HP,Depth,+12V (mA),-12V (mA),+5V (mA),Price (€),Racks,Rating,Votes,Available,Approved
6292,RS-650 Reverb Echo,Analogue Systems,"['Delay', 'Effect', 'Reverb']",12,65.0,100.0,70.0,50.0,310.0,74,4.0,1.0,Available,0
6293,2hp Dual VCA,BeepBoop Electronics,"['Utility', 'VCA']",2,35.0,70.0,70.0,,102.0,74,5.0,3.0,Available,0
6294,Punch MG,Patching Panda,"['Dynamics', 'Envelope Generator', 'Mixer', 'Quad', 'Utility', 'VCA']",16,,180.0,64.0,,253.0,74,5.0,1.0,Available,1
6295,Sample and Hold,PMFoundations,"['Random', 'Sample and Hold']",4,,,,,40.0,74,,0.0,Available,1
6296,ADDAC308,ADDAC System,"['CV Modulation', 'Expression']",4,45.0,50.0,50.0,0.0,130.0,74,,0.0,Available,0
6297,Bad Idea #1800-CALL-YER-MUM,Møffenzeef Mødular,"['Drum', 'Oscillator']",12,20.0,25.0,25.0,0.0,179.0,74,4.0,1.0,Available,1
6298,XMX,Percussa,"['Delay', 'Filter', 'LFO', 'MIDI', 'Oscillator', 'Reverb', 'Sampling', 'Synth Voice']",28,25.0,500.0,100.0,0.0,426.0,74,,0.0,Available,1
6299,UTILITY – 1 Mix Mult,Ebashi Audio,"['Mixer', 'Multiple', 'Utility']",12,25.0,60.0,60.0,,180.0,74,2.0,1.0,Available,0
6300,M-056 6-ch Aux Mixer,Ladik,"['Attenuator', 'Mixer']",12,40.0,35.0,0.0,0.0,75.0,74,,0.0,Available,0
6301,Gamma Wave Source (GWS) (Grayscale panel),Grayscale,"['Digital', 'Effect', 'Oscillator']",12,24.0,74.0,12.0,,231.0,74,4.5,2.0,,1
6302,Pingable Envelope Generator (external 5v),4ms Company,"['Clock Generator', 'Clock Modulator', 'Dual/Stereo', 'Envelope Generator', 'Function Generator', 'LFO']",20,26.0,60.0,35.0,40.0,295.0,74,,0.0,Available,0
6303,BMC016 Dual Nice Quantizer (Clarke68 panel),Barton Musical Circuits,"['Dual/Stereo', 'Quantizer']",18,,,,,,73,,0.0,,0
6304,MULTS,JPSynth,"['Multiple', 'Utility']",4,14.0,,,,25.0,73,5.0,2.0,Available,1
6305,ДИУ-1об black,Paratek,['Utility'],3,35.0,75.0,,,100.0,73,,0.0,Available,1
6306,F-110 Alternative Black Panel,Ladik,"['Filter', 'Equalizer']",4,,25.0,12.0,,59.0,73,5.0,1.0,Available,0
6307,Model 180,Red Panel,"['Clock Modulator', 'Envelope Generator', 'Function Generator', 'LFO', 'Dual/Stereo']",14,45.0,30.0,10.0,,429.0,73,,0.0,Discontinued,0
6308,BLM Lunar Modulation Lab VCO,Blue Lantern Modules,"['LFO', 'Oscillator']",18,32.0,91.0,61.0,,290.0,73,2.5,2.0,Available,0
6309,ES11 - Triple Comparator & Schmitt Trigger,Elby Designs,"['Logic', 'Comparator']",17,60.0,28.0,0.0,0.0,182.0,73,,0.0,Available,0
6310,DRIP,dsp.coffee,"['Dual/Stereo', 'Filter']",8,,35.0,35.0,,190.0,73,,0.0,Available,0
6311,STM32DUINO LFO (DIY),SoundForce,"['CV Modulation', 'LFO']",10,,,,,35.0,73,,0.0,Available,1
6312,4 Operator FM,Modcan,['Oscillator'],20,,,,,,73,,0.0,,0
6313,Logic 202,EMW,"['Logic', 'Clock Modulator', 'Utility']",14,,70.0,0.0,0.0,90.0,73,,0.0,,0
6314,NEW cloud busting . blank,Error Instruments,"['Synth Voice', 'Controller', 'Effect', 'Random', 'Sequencer']",18,30.0,107.0,0.0,0.0,220.0,73,,0.0,Available,0
6315,RM Ring Mod,Analogue Solutions,['Ring Modulator'],6,89.0,20.0,20.0,0.0,70.0,73,5.0,1.0,Discontinued,0
6316,Stable,Syntonie,['Video'],16,42.0,310.0,0.0,0.0,399.0,73,5.0,1.0,Available,0
6317,WAVE COMPOSITION OSCILLATOR,EMW,"['MIDI', 'Oscillator', 'Digital']",16,,18.0,8.0,,198.0,73,,0.0,Available,1
6318,SY-MOD,Pharmasonic,"['Drum', 'Envelope Generator', 'LFO', 'Sample and Hold']",6,25.0,20.0,18.0,0.0,87.0,73,,0.0,Discontinued,0
6319,Slimline Passive Fader,CatSynth,['Attenuator'],2,14.0,,,,14.0,73,,0.0,Available,1
6320,ADDAC200 Multiples,ADDAC System,['Multiple'],4,15.0,,,,40.0,73,5.0,1.0,,0
6321,Moog MF-1001,Million Machine March,['Filter'],28,38.0,500.0,,,,73,5.0,1.0,,0
6322,Blister,NONO Modular,['Expander'],14,25.0,,,,1.0,73,,0.0,Available,1
6323,Cyclebox (Grayscale panel),Grayscale,['Oscillator'],16,,110.0,0.0,0.0,550.0,73,5.0,3.0,,1
6324,Elements MIDI Module 16B,Livid,['Controller'],20,,,,,77.0,73,,0.0,,0
6325,EURO DSO,FPB,"['Utility', 'Tuner']",14,23.0,17.0,16.0,58.0,180.0,73,3.0,1.0,Available,1
6326,24dB VCF SSI,MFB,['Filter'],8,40.0,30.0,30.0,,99.0,73,,0.0,Available,0
6327,Mixing Flask,ThreeTom Modular,"['Distortion', 'Mixer', 'PreAmp', 'Utility']",4,36.0,36.0,36.0,0.0,129.0,73,,0.0,Available,0
